id,amount_pictures,address,average_price,features,description
1,24,"138 Boulevard Labelle, Rosemère, J7A 2H1","$ (less than $20), $$ ($20 to $30)",,"Pho & Co prides itself in offering a curated menu of traditional Vietnamese dishes each elevated with a modern touch. Our pho is made from 100% sustainably-sourced ingredients, carefully selected by our chefs to bring you an exclusive and memorable dining experience.show more"
2,14,"6000 Boulevard Rome, Brossard, J4Y 0B6",$$ ($20 to $30),,"A CUSTOMIZED SERVICE YOUR EVENTS OUR MENUS
Whether you want to highlight the obtaining of a contract, celebrate an anniversary or even organize a gala evening in a philanthropic setting, the Restos DIX30 Group caterer will always be there to make your event a memorable one.
Several options are available to you: cocktail reception, lunch boxes, brunch, buffets, gourmet plated dinner and more.  Our service offer is only limited by your imagination!  Our corporate caterer will offer you the same five-star service as when visiting one of our establishments.  Whatever the occasion you want to celebrate, rest assured that the RESTOS DIX30 caterer will accompany you from start to finish and that our high-end touch will always be there.
Fun to share in all circumstances!show more"
3,0,"1052 Rue Lionel-Daunais, Boucherville, J4B 0B2","$$ ($20 to $30), $$$ ($30 to $45)",,"Nourri au Beurre opens its doors in Boucherville in autumn 2017. With its ""late-night"" concept, you can enjoy a delicious meal even after your late outings. A cozy and intimate atmosphere where none other than the owner, David Godin-Pelletier, will offer you authentic, tasty cuisine.show more"
4,23,"1485 Rue Ottawa, Montreal, H3C 1S9","$ (less than $20), $$ ($20 to $30)",,"We are Brasseur de Montréal, and we’re here to brew things up one beer at a time in our Microbrewery.Here, we value effort. Day after day, our team gives their best to serve top quality beers and food that’s guaranteed to please even the most demanding gourmets.Our beers and menu are inspired by the roots of Griffintown, a unique and bustling neighbourhood. We are proud to provide a gathering place for those who want to enjoy delicious food and drink in a laid-back atmosphere after a long day.We are Brasseur de Montréal and we are here to stay.show more"
5,28,"1800 Boulevard de la Côte-Vertu, Montreal, H4L 2A6","$ (less than $20), $$ ($20 to $30)",,"Welcome to Sawadika  A symphony of flavors combines the classic bistro cuisine prepared with a touch of Thai and Szechuan authentic dishes that consist of a harmonious blend of spicy, sweet and sour. Whether a romantic dinner, a business meeting, or any celebration, we are ready to greet you with a friendly and efficient service. Get the chance to enjoy our fine Thai and Szechuan cuisine with a tasting menu that offers more than 60 choices of dishes! Fill yourself with a range of gourmet dishes while enjoying your own wine!show more"
6,14,"1780 Avenue Pierre Péladeau, Laval, H7T 2Z1","$$ ($20 to $30), $$$ ($30 to $45)",,"Welcome to the world of Madame Bovary, a festive restaurant with a menu of contemporary small dishes, a signature cocktail card and a private import wine list. Inspired by the story of Madame Bovary, the cozy design space includes a 160-seat restaurant, two bar areas, semi-private lounges and a billiard room.
We are happy to welcome you in a unique place where we wish to marry the pleasures of the table, art and culture to offer you unforgettable moments. (18+)show more"
7,0,"1210 Ave Van Horne, Montreal, H2V 1K3",$$ ($20 to $30),,"Bons Petits Plats at the heart of your daily life for more than 25 years!Established since 1997, De Bons Petits Plats has survived the ages and fashions in a constantly changing world.25 years of experience, it is above all a varied offer rich in flavors. All this combined with a quality service that listens to its customers, even the most demanding, and a team that is conscientious about a job well done. It is also, and above all, a recognized expertise within small families to major events.Contacting us means letting a Chef into your kitchen and your events.show more"
8,0,"405 Rue St-Antoine O, Montreal, H2Z 1H8","$$ ($20 to $30), $$$ ($30 to $45)",,"Steak Frites offers quality prepared dishes: distinctive cuts of meat that are tender and juicy, enhanced through our know-how to reveal all of their flavour.  In an unpretentious atmosphere, we provide a generous gourmet menu for you to enjoy alone, as a couple, or with family and friends.show more"
9,0,"340 Rue de la Gauchetière O, Montreal, H2Z 0B9",$ (less than $20),,"The h3 Lounge is located, like the h3 Restaurant, on the 2nd floor of the Humaniti complex in the heart of downtown Montreal.
This exceptional place has a cellar that promotes accessibility: Quebec wines, great Bordeaux wines, through rare bottles unearthed by the best sommeliers in town.  The wine experience offered by the h3 Lounge appeals to connoisseurs and enthusiasts alike!  Add to that a balance between classic cocktails and seasonal creations, a ""finger food"" type food menu, the place is ideal for 5 to 7 with friends or colleagues, and to relax after a good day's work.
Open every evening from 4pm to 11pm, a cozy and relaxed atmosphere with jazz notes awaits you.  Note that once a month, an artist from the city is invited during h3ART events (which we discovered on the h3 Terrace) to perform live, in this magnificent setting which offers both privacy and a spectacular view thanks to its huge bay windows.show more"
10,13,"70 Rue Sainte- Catherine E, Montreal, H2X 1K6","$ (less than $20), $$ ($20 to $30)",,"Allô mon Coco invites you to enjoy a sparkling brunch experience in a family-friendly and comforting atmosphere. Come share memorable moments with your loved ones over the best meal of the day: breakfast. Located on Sainte-Catherine Street East, near the Quartier des Spectacles, Complexe Desjardins, and Chinatown, come try our morning specialties—our hearty sweet and savory brunch plates, delicious eggs Benedict, and decadent waffles and cocos, not to mention the famous Allô mon Coco potatoes! Also, discover our lunch offerings, perfect for a meal with colleagues. Pair it all with a refreshing mimosa, smoothie, or milkshake!show more"
