id,name,latitude,longitude,hash_tags,unique_page
1,Pho & Co.,45.621652,-73.798539,"Asian,Vietnamese,Japanese,Chinese,Vietnamese,Soups",https://www.restomontreal.ca/resto/pho-co-rosemere/14070/en/
2,Groupe RestosDix30 - Traiteur Corporatif,45.441052,-73.440323,"International,Market,Regional,Healthy,Seafood/Fish,Salads",https://www.restomontreal.ca/resto/groupe-restosdix30-traiteur-corporatif-brossard/14248/en/
3,Nourri au Beurre,45.590201,-73.430579,"French,Market,Wild Game,Regional",https://www.restomontreal.ca/resto/nourri-au-beurre-boucherville/11995/en/
4,Brasseur de Montréal - Microbrasserie,45.489686,-73.564491,"Burgers,Pub Food,Grill,Comfort Food,Poutine,Tartare",https://www.restomontreal.ca/resto/brasseur-de-montreal-microbrasserie-griffintown/4817/en/
5,Sawadika Festin Thailandais,45.510376,-73.686589,"Thai,Szechuan,Vietnamese,Asian,Chinese,Fusion",https://www.restomontreal.ca/resto/sawadika-festin-thailandais-ville-saint-laurent/4724/en/
6,Madame Bovary,45.561339,-73.743045,"Bistro,Market,French,Tapas,Tartare,Contemporary/Modern",https://www.restomontreal.ca/resto/madame-bovary-chomedey/17964/en/
7,De Bons Petits Plats,45.522284,-73.612975,"Market,International,Grill,Sandwiches,Salads,Tartare",https://www.restomontreal.ca/resto/de-bons-petits-plats-outremont/17143/en/
8,Steak Frites St-Paul,45.502589,-73.561151,"Steakhouse,Grill,Tartare",https://www.restomontreal.ca/resto/steak-frites-st-paul-old-montreal/3135/en/
9,Lounge H3,45.503969,-73.56282,"Regional,International,Market,Grill,Seafood/Fish,Gluten-free Options",https://www.restomontreal.ca/resto/lounge-h3-downtown/15967/en/
10,Allô mon Coco,45.510498,-73.562662,"Breakfast,Salads,Burgers,Grill,Crêpes,Sandwiches",https://www.restomontreal.ca/resto/allo-mon-coco-downtown/12109/en/
11,Houston Avenue Bar & Grill,45.4603018,-73.7482175,"Steakhouse,Grill,International,Tacos,BBQ,Burgers",https://www.restomontreal.ca/resto/houston-avenue-bar-grill-dorval/3361/en/
12,Fromagerie Victoria St-Jérôme,45.759449,-74.023403,"Breakfast,Casse-Croute (Snack Bar),American,Poutine,Salads,Pasta",https://www.restomontreal.ca/resto/fromagerie-victoria-st-jerome-saint-jerme/12383/en/
13,Feliciano,45.890373,-74.165351,"Italian,Mediterranean,Pasta,Seafood/Fish,Grill,Tartare",https://www.restomontreal.ca/resto/feliciano-saint-sauveur/3265/en/
14,Phayathai,45.666121,-73.86763,"Thai,Asian",https://www.restomontreal.ca/resto/phayathai-blainville/10505/en/
15,Chez Fabien,45.692553,-73.634783,"Italian,French,Pasta,Tartare,Grill,Pizza",https://www.restomontreal.ca/resto/chez-fabien-terrebonne-lachenaie/3494/en/
16,L'Évidence,45.519634,-73.572848,"Breakfast,Grill,Mediterranean,Salads,Bistro,Burgers",https://www.restomontreal.ca/resto/l-evidence-le-plateau/2985/en/
17,Itamea Sushi,45.539791,-73.599993,"Sushi,Asian,Poke Bowl",https://www.restomontreal.ca/resto/itamea-sushi-rosemont-la-petite-patrie/11898/en/
18,Le Rendez-Vous du Thé,45.560265,-73.657612,"Tea,French,Market,Regional,Bistro,Desserts & Sweets",https://www.restomontreal.ca/resto/le-rendez-vous-du-the-ahuntsic-cartierville/5689/en/
19,Le Roux,45.335011,-72.651664,"Bistro,Market,Tapas,Seafood/Fish,Grill,Charcuterie",https://www.restomontreal.ca/resto/le-roux-bromont/16975/en/
20,Le Balthazar,45.62892,-73.848407,"Pub Food,Burgers,Tartare,Fish & Chips,Chicken Wings,Sandwiches",https://www.restomontreal.ca/resto/le-balthazar-boisbriand/18017/en/
21,Canard Café,45.526134,-73.549273,"Grilled Cheese,Breakfast,Crêpes,Café,Vegetarian,Sandwiches",https://www.restomontreal.ca/resto/canard-cafe-village-centre-sud/14785/en/
22,Trattoria Cinecitta,45.484549,-73.632097,"Mediterranean,Grill,Seafood/Fish,Charcuterie,Pasta,Soups",https://www.restomontreal.ca/resto/trattoria-cinecitta-cote-des-neiges/5797/en/
23,Il Focolaio,45.503842,-73.568241,"Pizza,Italian,Café,Salads",https://www.restomontreal.ca/resto/il-focolaio-downtown/912/en/
24,Côba Sushi,45.517068,-73.597802,"Sushi,Japanese,Asian,Contemporary/Modern,Tapas,Grill",https://www.restomontreal.ca/resto/coba-sushi-mile-end/1522/en/
25,L'Aurochs Steakhouse,45.442082,-73.439189,"Steakhouse,Grill,Seafood/Fish,Tartare,Market,Burgers",https://www.restomontreal.ca/resto/laurochs-steakhouse-brossard/2155/en/
