id_resto,amount_pictures,average_price,features,description
1,38,$$ ($20 to $30),,"DON'T LET THE NAME FOOL YOU
A very warm Decor for the cold season, a lively and sunny terrace for the summer season, market cuisine that evolves with freshness. Complimented by a young and dynamic team to accompany you during this experience, that's why Greasy Spoon has always been a must on Laurier since 2009.show more"
3,15,"$ (less than $20), $$ ($20 to $30)",,"Artigiani - where the art of turning dough the Neapolitan way! Being located on a street on the Plateau Mont-Royal, Artigiani proposes you to leap in the heart of Italy by enjoying a typical Neapolitan pizza cooked according to the rules of art. From appetizers to desserts, you will taste what Italy has to offer in all its splendor! Do not neglect to look at the wine list, you can taste some vintage wines without breaking your wallet!show more"
4,23,"$ (less than $20), $$ ($20 to $30)",,"The Kam Shing restaurant has served clients for over 20 years since 1997. Kam Shing Van Horne is quite close to the Van Horne exit of the Plamondon Metro station on the Orange line. On-street parking (meters) is plentiful as well as free parking nearby as well. The extensive menu was recently updated and added to (more than 200 items) of Cantonese and Szechuan items. The food is authentic Chinese and is rated by many among the very best in Montreal. The portions are very generous and many diners take home the remainders for next day. The food is reasonably priced, delicious and served very fresh and of the highest quality. The restaurant is described as serving such outstanding items such as Hot and Sour soup, General Tao Chicken, Salt and Pepper shrimp, Cantonese Chow Mein, Peanut butter dumplings Chicken and green peppers or broccoli with rice noodles in black bean sauce. There are many vegetarian dishes, some gluten-free dishes and MSG free if requested. The restaurant is fully licensed and offer a variety of beers including Chinese beers, Saké, wine and several other beverages.show more"
5,23,"$ (less than $20), $$ ($20 to $30)",,"Discover our new brewery, proudly local, where beers brewed by Brasseurs du Monde come to life. Our mission? Share our passion for beer while offering a unique experience, reflecting our world. We are ambassadors of discovery, where each beer tells a story. It's time to come and remake the world, one glass at a time.show more"
7,10,"$$ ($20 to $30), $$$ ($30 to $45)",,"Discover our menu, concocted by our Production Chef, Ghislain Roy. Homemade products, chosen with great care to satisfy you as well as a beautiful variety of microbrewery beers.show more"
8,12,"$ (less than $20), $$ ($20 to $30)",,"Brasserie des Rapides is a family-owned restaurant and bar located in LaSalle.  Since 1990, BDR is known for it's friendly atmosphere and generous portions at reasonable prices. Everyday you can find the mother of the family, Maria Macri, in the kitchen marinating her perfectly seasoned chicken wings or cooking her classic dishes like lasagna and Fish n’ Chips. For over 30 years, BDR is proud to serve hand-crafted dishes and provide their guests with a truly remarkable experience.  With two bars, a sunny terrace, a large selection of wines and over 12 draft beers, BDR is the perfect place in Lasalle for gatherings with friends!  Open every day from 7am, BDR also offers breakfast during which you can enjoy a classic eggs benedict or Belgian waffles topped with fruit and whipped cream.show more"
9,11,"$$ ($20 to $30), $$$ ($30 to $45)",,"Who does not dream of being in Italy, a country known around the world for its comforting dishes  This is what La Tomate Blanche offers you a few steps from your home, on the South Shore of Montreal.  With its Italian cuisine of unexpected flavors and advanced culinary techniques, all in a modern atmosphere, La Tomate Blanche is the place to rediscover Italian classics.show more"
10,17,$$ ($20 to $30),,"Piatti Pizzeria offers authentic Italian cuisine for all occasions.  Whether for a business lunch, a dinner with friends or a romantic evening, the friendly and elegant atmosphere of our restaurant will make your evening memorable.  Our wood oven pizzas will delight you, as well as our other dishes offering all the quality of Italian cuisine without pretention or fluff.  Our “tables d’hôtes” are renewed each week to offer even more variety.  You can accompany your meal with a glass of wine from our private import wine list to pair with your meal.show more"
11,24,"$ (less than $20), $$ ($20 to $30)",,La Colonie Thai restaurant offers a wide variety of Thai meals. The enthusiastic team will be thrilled to help you experience the fine cuisine in a soothing and fresh environment. We welcome small or large groups.show more
12,17,"$ (less than $20), $$ ($20 to $30)",,"Brewed in the heart of Old Montreal, our beers have been elaborated religiously for the past decade.  Whether you choose our traditional beers or our more unorthodox ones, our cuisine will know how to match them: from burgers to tartare, without forgetting tacos.
All in a chic and casual ambiance, enough for a nun to rescind her vows.show more"
