id,name,latitude,longitude,address,hash_tags,unique_page
1,Greasy Spoon,45.521063,-73.594379,160 Rue Laurier O,"Comfort Food,Burgers,Tartare,Fish & Chips,BBQ,Seafood/Fish",https://www.restomontreal.ca/resto/greasy-spoon-mile-end/2650/en/
2,Pomodoro Steak & Bar,45.532661,-73.614272,6834 Boulevard St-Laurent,"Steakhouse,Italian,Pizza,Pasta",https://www.restomontreal.ca/resto/pomodoro-steak-bar-little-italy/5130/en/
3,Artigiani Pizzeria Cucina,45.525003,-73.584805,4657 Rue Saint-Denis,"Pizza,Italian,Pasta",https://www.restomontreal.ca/resto/artigiani-pizzeria-cucina-le-plateau/1889/en/
4,Kam Shing Van Horne Restaurant,45.494826,-73.637667,4771 Avenue Van Horne,"Chinese,Szechuan,Asian",https://www.restomontreal.ca/resto/kam-shing-van-horne-restaurant-notre-dame-de-grace-ndg/1036/en/
5,Brasseurs du Monde - Brasserie Quartier Latin,45.514709,-73.562205,1567 Rue Saint-Denis,"Burgers,Tartare,Poutine,Comfort Food,BBQ,Chicken Wings",https://www.restomontreal.ca/resto/brasseurs-du-monde-brasserie-quartier-latin-latin-quarter/10690/en/
6,Isola Bella,45.724,-73.679593,3437 Boulevard de la Piniere,"Tartare,Grill,Fusion,Market,Seafood/Fish,Regional",https://www.restomontreal.ca/resto/isola-bella-terrebonne-lachenaie/5407/en/
7,La Goulée - Taverne Gourmande,45.736886,-73.448423,420 Rue Notre-Dame,"Burgers,Tartare,Comfort Food,Fish & Chips,BBQ,Poutine",https://www.restomontreal.ca/resto/la-goulee-taverne-gourmande-repentigny/13765/en/
8,Brasserie des Rapides,45.427346,-73.608577,7852 Boulevard Champlain,"Steakhouse,Burgers,Pasta,Pizza,Grill,Chicken Wings",https://www.restomontreal.ca/resto/brasserie-des-rapides-lasalle/91/en/
9,La Tomate Blanche,45.441766,-73.439778,1725 Avenue des Lumières #205,"Italian,Pizza,Grill,Pasta,Market,Salads",https://www.restomontreal.ca/resto/la-tomate-blanche-brossard/2158/en/
10,Piatti Pizzeria,45.615047,-73.680666,2829 Avenue des Aristocrates,"Pizza,Italian,Pasta,Gluten-free Options",https://www.restomontreal.ca/resto/piatti-pizzeria-duvernay/12951/en/
11,La Colonie Thai,45.502952,-73.51362,10 Boulevard Desaulniers,"Thai,Asian",https://www.restomontreal.ca/resto/la-colonie-thai-saint-lambert/7521/en/
12,Les Soeurs Grises - Bistro-Brasserie,45.498881,-73.553722,32 Rue McGill,"Bistro,Tapas,Mexican,BBQ,Burgers,Poutine",https://www.restomontreal.ca/resto/les-soeurs-grises-bistro-brasserie-old-montreal/4915/en/
13,Gaspar Brasserie Française,45.506321,-73.553018,89 Rue de La Commune E,"French,Canadian,Bistro,Tartare,Vegetarian",https://www.restomontreal.ca/resto/gaspar-brasserie-francaise-old-montreal/4729/en/
14,Gourmeyeur,45.568676,-73.76883,3535 Autoroute Jean-Noël Lavoie O,"Bistro,Café,Deli,Tartare,Healthy,Fish & Chips",https://www.restomontreal.ca/resto/gourmeyeur-chomedey/13054/en/
15,Amato,45.614867,-73.785084,192 Boulevard Ste Rose,"Italian,Seafood/Fish,Grill,Pasta",https://www.restomontreal.ca/resto/amato-sainte-rose/4655/en/
16,Panama Rotisserie,45.526458,-73.624764,789 Rue Jean-Talon O,"Greek,Grill,Mediterranean,Seafood/Fish,BBQ,Rotisserie",https://www.restomontreal.ca/resto/panama-rotisserie-town-of-mont-royal/2854/en/
17,Restaurant Noraka,45.497979,-73.647248,4820 Rue Jean-Talon O,"Thai,Kosher,Asian,Chinese,Grill,Burgers",https://www.restomontreal.ca/resto/restaurant-noraka-cote-des-neiges/14727/en/
18,Boqueria,45.503769,-73.553999,121 Rue de la Commune O,"Spanish,Tapas,Mediterranean,Seafood/Fish",https://www.restomontreal.ca/resto/boqueria-old-montreal/17801/en/
19,Rotisserie Chalet Bar-B-Q,45.472699,-73.6111,5456 Rue Sherbrooke O,"BBQ,Rotisserie,Chicken Wings,Poutine",https://www.restomontreal.ca/resto/rotisserie-chalet-bar-b-q-cote-des-neiges/261/en/
20,Bellepros,45.611137,-73.70071,5600 Boulevard Robert-Bourassa,"Burgers,Poutine,Smoked Meat,Sandwiches,Breakfast,Casse-Croute (Snack Bar)",https://www.restomontreal.ca/resto/bellepros-duvernay/12058/en/
21,Le Côte - Cuisine & Bar - Eastman,45.30227,-72.304886,4 Chemin George Bonnallie,"Steakhouse,Seafood/Fish,Grill,Market,Salads",https://www.restomontreal.ca/resto/le-cote-cuisine-bar-eastman-eastman/6611/en/
22,East Pan Asiatique,45.502746,-73.569205,1250 Boulevard Robert-Bourrassa,"Asian,Chinese,Japanese,Thai,Korean,Ramen",https://www.restomontreal.ca/resto/east-pan-asiatique-downtown/10330/en/
23,Curry Karim,45.532141,-73.662543,1565 Rue de Louvain O,"Indian,Grill,Vegetarian",https://www.restomontreal.ca/resto/curry-karim-ahuntsic-cartierville/17333/en/
24,ZIBO! Restaurant-Bar,45.492867,-73.557064,90 Rue Peel,"Californian,Grill,Salads,Pasta,Pizza,Burgers",https://www.restomontreal.ca/resto/zibo-restaurant-bar-griffintown/7614/en/
25,Pizzeria Gusto,45.5818,-73.59318,5152 Rue Jarry E,"Italian,Pizza,Pasta,Charcuterie",https://www.restomontreal.ca/resto/pizzeria-gusto-anjou-st-leonard/14009/en/
26,L'Évidence,45.519634,-73.572848,3817 Rue Saint-Denis,"Breakfast,Grill,Mediterranean,Salads,Bistro,Burgers",https://www.restomontreal.ca/resto/l-evidence-le-plateau/2985/en/
27,Restaurant Jano,45.51621,-73.577284,3883 Boulevard St-Laurent,"Portuguese,Grill,Seafood/Fish,Tapas",https://www.restomontreal.ca/resto/restaurant-jano-le-plateau/1549/en/
28,Sushi Taxi,45.567263,-73.727972,1694 Boulevard St-Martin O,"Sushi,Asian,Vegetarian,Poke Bowl,Gluten-free Options",https://www.restomontreal.ca/resto/sushi-taxi-chomedey/6567/en/
29,RossoCielo Restaurant & Bar,45.557264,-73.721736,500 Rue Lucien Paiement,"Italian,Pasta,Pizza,Grill,Breakfast",https://www.restomontreal.ca/resto/rossocielo-restaurant-bar-laval-des-rapides/17790/en/
30,Mythik,45.496039,-73.569309,1909 Avenue des Canadiens-de-Montréal,"Market,Regional,Grill,Pasta,Seafood/Fish,Tartare",https://www.restomontreal.ca/resto/mythik-downtown/17442/en/
31,40 Westt Steakhouse,45.481931,-73.79601,2305 Route Transcanadienne,"American,Canadian,Mediterranean,Seafood/Fish,Steakhouse,Salads",https://www.restomontreal.ca/resto/40-westt-steakhouse-pointe-claire/351/en/
